label	pathotype	ref_start	ref_end	qry_start	qry_end	ref_len	qry_len	identity	ref_contig	qry_contig	tier
O157H7_EDL933	EHEC	2188745	2204371	1894111	1878481	15627	15631	99.87	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	2205681	2211812	1878484	1872344	6132	6141	99.74	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	2213290	2308581	2288439	2383732	95292	95294	99.86	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	2308679	2670590	2383734	2745670	361912	361937	99.94	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	2670590	2680353	2745811	2755577	9764	9767	98.77	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	2676843	2696803	2125192	2145157	19961	19966	98.84	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	2694947	2743268	2771174	2819497	48322	48324	99.86	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	2749421	2899235	2819496	2969335	149815	149840	99.89	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	2900446	2921240	2749596	2770395	20795	20800	99.14	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	2919077	3088974	2990205	3160108	169898	169904	99.91	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	3090283	3245033	3160104	3314859	154751	154756	99.94	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	3245068	3480509	3314779	3550225	235442	235447	99.92	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	3480822	3484229	1872344	1868937	3408	3408	99.79	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	3484372	3492029	3551561	3559225	7658	7665	99.71	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	3491966	3971195	3559120	4038382	479230	479263	99.94	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	3971011	4508755	4038098	4575856	537745	537759	99.96	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	4508269	4776329	4577127	4845188	268061	268062	99.97	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	4776319	5040981	4844952	5109599	264663	264648	99.91	NC_002695.2	NC_002655.2	CONSERVED
O157H7_EDL933	EHEC	5079725	5498578	5109584	5528445	418854	418862	99.95	NC_002695.2	NC_002655.2	CONSERVED
O157H7_TW14359	EHEC	1	28911	184	29094	28911	28911	99.98	NC_002128.1	NC_013010.1	CONSERVED
O157H7_TW14359	EHEC	28909	32005	30405	33502	3097	3098	99.84	NC_002128.1	NC_013010.1	CONSERVED
O157H7_TW14359	EHEC	32004	35665	34032	37693	3662	3662	100.0	NC_002128.1	NC_013010.1	CONSERVED
O157H7_TW14359	EHEC	38070	91929	37692	91540	53860	53849	99.94	NC_002128.1	NC_013010.1	CONSERVED
O157H7_TW14359	EHEC	91916	92538	93976	94601	623	626	99.36	NC_002128.1	NC_013010.1	CONSERVED
O157H7_TW14359	EHEC	92539	92721	1	183	183	183	100.0	NC_002128.1	NC_013010.1	CONSERVED
O157H7_TW14359	EHEC	1	74051	1	74031	74051	74031	99.96	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	54038	262323	54033	262313	208286	208281	99.97	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	242318	270766	242300	270756	28449	28457	99.86	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	269807	301465	272361	304025	31659	31665	99.95	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	301465	311328	305345	315207	9864	9863	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	311324	462604	316516	467781	151281	151266	99.97	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	442613	596503	447804	601681	153891	153878	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	596504	861635	601373	866491	265132	265119	99.96	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	861482	1044921	866435	1049869	183440	183435	99.96	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1024919	1182815	1029874	1187755	157897	157882	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1182816	1246166	1187993	1251343	63351	63351	99.62	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1248220	1248288	2717121	2717053	69	69	100.0	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1248573	1249928	3247370	3246015	1356	1356	99.04	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1252406	1258520	2712088	2705974	6115	6115	99.79	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1261241	1263969	2703644	2700886	2729	2759	97.28	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1263863	1264447	2700062	2699478	585	585	99.15	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1264357	1270504	3229867	3223721	6148	6147	98.13	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1271813	1281046	3223726	3214487	9234	9240	97.37	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1281044	1304441	3213176	3189746	23398	23431	97.52	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1306266	1306495	1747271	1747042	230	230	97.39	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1307668	1308572	3248664	3247762	905	903	82.75	NC_002695.2	NC_013008.1	DIVERGED
O157H7_TW14359	EHEC	1308858	1312817	1251327	1255286	3960	3960	99.97	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1312855	1378268	1255277	1320685	65414	65409	99.97	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1378265	1553211	1321995	1496949	174947	174955	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1551614	1554390	1748428	1751204	2777	2777	96.54	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1555883	1597197	1496943	1538273	41315	41331	99.5	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1597465	1597697	1538519	1538751	233	233	97.0	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1598289	1598515	1539627	1539853	227	227	92.95	NC_002695.2	NC_013008.1	MODERATE
O157H7_TW14359	EHEC	1601101	1602425	1541537	1542872	1325	1336	94.09	NC_002695.2	NC_013008.1	MODERATE
O157H7_TW14359	EHEC	1609041	1609334	1546122	1546415	294	294	91.5	NC_002695.2	NC_013008.1	MODERATE
O157H7_TW14359	EHEC	1609775	1663473	1546600	1600294	53699	53695	99.93	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1663469	1664780	305339	304028	1312	1312	99.92	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1664785	1685597	1600292	1621101	20813	20810	99.99	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1700761	1762391	1621094	1682724	61631	61631	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1762385	1774927	1682803	1695345	12543	12543	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1792223	1798875	2125513	2118859	6653	6655	97.39	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1796893	1815817	1717331	1736247	18925	18917	99.47	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1815569	1864504	1781422	1830358	48936	48937	99.91	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1844509	1909303	1810362	1875157	64795	64796	99.97	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1910614	1921550	1875155	1886091	10937	10937	99.97	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	1925507	1926689	1738636	1739818	1183	1183	86.92	NC_002695.2	NC_013008.1	MODERATE
O157H7_TW14359	EHEC	1933404	1933716	1746237	1746547	313	311	90.42	NC_002695.2	NC_013008.1	MODERATE
O157H7_TW14359	EHEC	1972620	2161573	1886049	2075013	188954	188965	99.97	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2171975	2184074	1710536	1698437	12100	12100	99.41	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2185755	2204371	2092637	2111253	18617	18617	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2205681	2215274	2111250	2120843	9594	9594	99.3	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2215882	2226902	2079292	2090301	11021	11010	97.67	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2219401	2252586	2123227	2156412	33186	33186	99.45	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2252580	2613084	2157719	2518225	360505	360507	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2613079	2738819	2519533	2645288	125741	125756	99.84	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2738816	2741954	2646598	2649736	3139	3139	99.97	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2743267	2755447	2649735	2661915	12181	12181	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2755420	2842778	2719100	2806457	87359	87358	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2842744	2872169	2838383	2867826	29426	29444	99.94	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2852182	2873796	2847821	2869453	21615	21633	99.91	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2873794	2890910	2870764	2887880	17117	17117	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2892221	2912336	2887878	2907994	20116	20117	99.63	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2913647	2924134	2907992	2918478	10488	10487	99.57	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2927579	2928160	3229843	3230424	582	582	97.08	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2929476	2932464	3233296	3236285	2989	2990	97.26	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	2936849	3157501	2932948	3153599	220653	220652	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	3157233	3177471	3153422	3173660	20239	20239	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	3177065	3193065	3173660	3189660	16001	16001	99.97	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	3193041	3492017	3251894	3550905	298977	299012	99.97	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	3491978	3557380	3550812	3616219	65403	65408	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	3557375	3589157	3616418	3648200	31783	31783	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	3589181	4033335	3648176	4092331	444155	444156	99.99	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	4034649	4157517	4092329	4215197	122869	122869	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	4157514	4781724	4216507	4840736	624211	624230	99.98	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	4781692	5040981	4840740	5100027	259290	259288	99.99	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	5079725	5115053	5100012	5135332	35329	35321	99.97	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	5114947	5349208	5146081	5380289	234262	234209	99.95	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	5349395	5350705	3213176	3214486	1311	1311	100.0	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	5349396	5350707	2926548	2927859	1312	1312	100.0	NC_002695.2	NC_013008.1	CONSERVED
O157H7_TW14359	EHEC	5350707	5498578	5380289	5528136	147872	147848	99.97	NC_002695.2	NC_013008.1	CONSERVED
O157H7_EC4115	EHEC	1	15899	78746	94644	15899	15899	99.98	NC_002128.1	NC_011350.1	CONSERVED
O157H7_EC4115	EHEC	15900	28911	1	13012	13012	13012	99.98	NC_002128.1	NC_011350.1	CONSERVED
O157H7_EC4115	EHEC	28909	32005	14323	17420	3097	3098	99.84	NC_002128.1	NC_011350.1	CONSERVED
O157H7_EC4115	EHEC	32004	35665	17950	21611	3662	3662	100.0	NC_002128.1	NC_011350.1	CONSERVED
O157H7_EC4115	EHEC	38071	91929	21611	75483	53859	53873	99.95	NC_002128.1	NC_011350.1	CONSERVED
O157H7_EC4115	EHEC	91916	92721	77919	78745	806	827	97.22	NC_002128.1	NC_011350.1	CONSERVED
O157H7_EC4115	EHEC	1	74051	1	74031	74051	74031	99.96	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	54038	270766	54033	270750	216729	216718	99.97	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	269807	301465	272355	304025	31659	31671	99.93	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	301465	411468	305345	415347	110004	110003	99.97	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	411330	462604	414927	466188	51275	51262	99.93	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	442613	596503	446211	600088	153891	153878	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	596504	861635	599780	864898	265132	265119	99.96	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	861482	1044921	864842	1048276	183440	183435	99.96	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1024919	1182815	1028281	1186156	157897	157876	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1182816	1186351	1186394	1189929	3536	3536	99.94	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1186346	1246166	1191237	1251057	59821	59821	99.6	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1248220	1248288	2718140	2718072	69	69	100.0	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1248573	1249928	3292499	3291144	1356	1356	99.04	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1252406	1258520	2713107	2706993	6115	6115	99.79	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1261241	1263969	2704663	2701905	2729	2759	97.28	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1263863	1264447	2701081	2700497	585	585	99.15	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1264357	1270504	3274996	3268850	6148	6147	98.13	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1271813	1281046	3268855	3259616	9234	9240	97.37	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1281044	1304441	3258305	3234875	23398	23431	97.52	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1306266	1306495	2924104	2924333	230	230	97.39	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1307668	1308572	3293793	3292891	905	903	82.75	NC_002695.2	NC_011353.1	DIVERGED
O157H7_EC4115	EHEC	1308858	1312817	1251041	1255000	3960	3960	99.97	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1312855	1378268	1254991	1320399	65414	65409	99.97	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1378265	1553211	1321709	1496661	174947	174953	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1551614	1554390	1749452	1752228	2777	2777	96.54	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1555883	1597197	1496655	1537985	41315	41331	99.5	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1597465	1597697	1538231	1538463	233	233	97.0	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1598289	1598515	1539339	1539565	227	227	92.95	NC_002695.2	NC_011353.1	MODERATE
O157H7_EC4115	EHEC	1601101	1602425	1541249	1542584	1325	1336	94.09	NC_002695.2	NC_011353.1	MODERATE
O157H7_EC4115	EHEC	1609041	1609334	1545834	1546127	294	294	91.5	NC_002695.2	NC_011353.1	MODERATE
O157H7_EC4115	EHEC	1609775	1685597	1546312	1622127	75823	75816	99.94	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1700761	1762391	1622120	1683750	61631	61631	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1762385	1774927	1683829	1696370	12543	12542	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1792223	1798875	2126532	2119878	6653	6655	97.4	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1796893	1815817	1718356	1737272	18925	18917	99.47	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1815569	1864504	1782446	1831382	48936	48937	99.91	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1844509	1909303	1811386	1876181	64795	64796	99.97	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1910614	1921550	1876179	1887115	10937	10937	99.97	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	1925507	1926689	1739660	1740842	1183	1183	86.84	NC_002695.2	NC_011353.1	MODERATE
O157H7_EC4115	EHEC	1933404	1933716	2925138	2924828	313	311	90.42	NC_002695.2	NC_011353.1	MODERATE
O157H7_EC4115	EHEC	1972620	2161573	1887073	2076037	188954	188965	99.97	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2171975	2184074	1711561	1699462	12100	12100	99.41	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2185755	2204371	2093661	2112272	18617	18612	99.94	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2205681	2215274	2112269	2121862	9594	9594	99.3	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2215882	2226902	2080316	2091325	11021	11010	97.67	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2219401	2252586	2124246	2157431	33186	33186	99.46	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2252580	2613084	2158738	2519244	360505	360507	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2613079	2738819	2520552	2646307	125741	125756	99.84	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2738816	2741954	2647617	2650755	3139	3139	99.97	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2743267	2755447	2650754	2662934	12181	12181	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2755420	2842778	2720119	2807477	87359	87359	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2842744	2890910	2839403	2887586	48167	48184	99.95	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2892221	2912336	2887584	2907700	20116	20117	99.63	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2913647	2924134	2907698	2918184	10488	10487	99.6	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2927579	2928160	3274972	3275553	582	582	97.08	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2929476	2932464	3278425	3281414	2989	2990	97.26	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	2936849	3157501	2978077	3198728	220653	220652	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	3157233	3177471	3198551	3218789	20239	20239	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	3177065	3193065	3218789	3234789	16001	16001	99.97	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	3193041	3492071	3297023	3596090	299031	299068	99.97	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	3491924	3557380	3596033	3661494	65457	65462	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	3557375	3589157	3661693	3693475	31783	31783	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	3589181	3869458	3693451	3973728	280278	280278	99.99	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	3870773	4033335	3973728	4136290	162563	162563	99.99	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	4034649	4157517	4136288	4259156	122869	122869	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	4157514	5040981	4260466	5143967	883468	883502	99.98	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	5079725	5115053	5143952	5179272	35329	35321	99.97	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	5114947	5349208	5190021	5424228	234262	234208	99.95	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	5349395	5350705	3258305	3259615	1311	1311	100.0	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	5349396	5350707	2971677	2972988	1312	1312	100.0	NC_002695.2	NC_011353.1	CONSERVED
O157H7_EC4115	EHEC	5350707	5498578	5424228	5572075	147872	147848	99.97	NC_002695.2	NC_011353.1	CONSERVED
O26H11_11368	EHEC	2656	3188	5780	5291	533	490	79.1	NC_002127.1	FM180570.1	DIVERGED
O26H11_11368	EHEC	14311	15245	1608152	1607221	935	932	99.25	NC_002128.1	FM180568.1	CONSERVED
O26H11_11368	EHEC	15246	15562	1605847	1605531	317	317	99.68	NC_002128.1	FM180568.1	CONSERVED
O26H11_11368	EHEC	15562	15702	1293203	1293343	141	141	92.2	NC_002128.1	FM180568.1	MODERATE
O26H11_11368	EHEC	24697	25057	1934	1574	361	361	84.21	NC_002128.1	FM180569.1	DIVERGED
O26H11_11368	EHEC	25250	25394	1343	1199	145	145	85.14	NC_002128.1	FM180569.1	MODERATE
O26H11_11368	EHEC	28265	30002	92617	90879	1738	1739	92.48	NC_002128.1	FM180569.1	MODERATE
O26H11_11368	EHEC	41595	46142	77646	73109	4548	4538	95.43	NC_002128.1	FM180569.1	CONSERVED
O26H11_11368	EHEC	46134	46854	71559	70875	721	685	91.55	NC_002128.1	FM180569.1	MODERATE
