marker_id	contig	start	end	length	k12_strains_with_coverage	absent_from_k12
MARKER_0163	NC_002695.2	1627494	1627935	442	7	False
MARKER_0164	NC_002695.2	1628403	1629060	658	5	False
MARKER_0166	NC_002695.2	1629149	1632560	3412	7	False
MARKER_0168	NC_002695.2	1632894	1634582	1689	3	False
MARKER_0169	NC_002695.2	1634691	1635119	429	3	False
MARKER_0170	NC_002695.2	1638376	1639447	1072	2	False
MARKER_0172	NC_002695.2	1648641	1648967	327	1	False
MARKER_0180	NC_002695.2	1761943	1762521	579	0	True
MARKER_0185	NC_002695.2	1774542	1774754	213	0	True
MARKER_0186	NC_002695.2	1775014	1775836	823	0	True
MARKER_0188	NC_002695.2	1798838	1799182	345	1	False
MARKER_0189	NC_002695.2	1800720	1803472	2753	0	True
MARKER_0192	NC_002695.2	1806392	1806891	500	0	True
MARKER_0196	NC_002695.2	1915139	1915466	328	7	False
MARKER_0198	NC_002695.2	1925272	1926689	1418	5	False
MARKER_0201	NC_002695.2	1927601	1928104	504	7	False
MARKER_0226	NC_002695.2	2198002	2198986	985	0	True
MARKER_0229	NC_002695.2	2205811	2206651	841	0	True
MARKER_0232	NC_002695.2	2209096	2209565	470	0	True
MARKER_0236	NC_002695.2	2221267	2222121	855	0	True
MARKER_0237	NC_002695.2	2222396	2223117	722	0	True
MARKER_0240	NC_002695.2	2247078	2247352	275	4	False
MARKER_0242	NC_002695.2	2433350	2433612	263	7	False
MARKER_0249	NC_002695.2	2625753	2627065	1313	4	False
MARKER_0251	NC_002695.2	2659058	2659260	203	3	False
MARKER_0255	NC_002695.2	2692204	2692769	566	7	False
MARKER_0265	NC_002695.2	2772060	2773484	1425	7	False
MARKER_0268	NC_002695.2	2787755	2788622	868	7	False
MARKER_0274	NC_002695.2	2911254	2912296	1043	0	True
MARKER_0276	NC_002695.2	2921264	2922398	1135	0	True
MARKER_0277	NC_002695.2	2923681	2924526	846	0	True
MARKER_0283	NC_002695.2	2938002	2938658	657	3	False
MARKER_0285	NC_002695.2	2939889	2940162	274	2	False
MARKER_0286	NC_002695.2	2941106	2941449	344	1	False
MARKER_0298	NC_002695.2	3177172	3178055	884	1	False
MARKER_0299	NC_002695.2	3178174	3182322	4149	7	False
MARKER_0301	NC_002695.2	3188907	3189203	297	7	False
MARKER_0310	NC_002695.2	3484948	3486059	1112	0	True
MARKER_0318	NC_002695.2	3853305	3853699	395	6	False
MARKER_0322	NC_002695.2	3859840	3860707	868	0	True
MARKER_0323	NC_002695.2	3865687	3866145	459	0	True
MARKER_0325	NC_002695.2	3866339	3866831	493	0	True
MARKER_0327	NC_002695.2	3929666	3929891	226	7	False
MARKER_0329	NC_002695.2	4014831	4016221	1391	7	False
MARKER_0336	NC_002695.2	4456984	4458205	1222	0	True
MARKER_0338	NC_002695.2	4518780	4519658	879	4	False
MARKER_0342	NC_002695.2	4584495	4586091	1597	3	False
MARKER_0344	NC_002695.2	4591541	4592360	820	0	True
MARKER_0347	NC_002695.2	4600552	4601980	1429	0	True
MARKER_0349	NC_002695.2	4602153	4603375	1223	0	True
MARKER_0355	NC_002695.2	4691400	4691906	507	0	True
MARKER_0358	NC_002695.2	4787974	4788227	254	7	False
MARKER_0363	NC_002695.2	4985265	4985831	567	7	False
MARKER_0364	NC_002695.2	5054207	5054947	741	1	False
MARKER_0365	NC_002695.2	5055308	5055603	296	1	False
MARKER_0366	NC_002695.2	5060921	5061239	319	0	True
MARKER_0367	NC_002695.2	5075774	5076303	530	0	True
MARKER_0372	NC_002695.2	5283589	5283898	310	7	False
MARKER_0375	NC_002695.2	5331831	5332634	804	7	False
MARKER_0381	NC_002695.2	5353216	5353879	664	0	True
MARKER_0386	NC_002695.2	5391078	5391545	468	3	False
MARKER_0389	NC_002695.2	5422086	5424063	1978	6	False
MARKER_0392	NC_002695.2	5453451	5454064	614	6	False
MARKER_0395	NC_002127.1	2656	3188	533	1	False
MARKER_0398	NC_002128.1	21138	21687	550	0	True
MARKER_0400	NC_002128.1	24697	25057	361	0	True
MARKER_0405	NC_002128.1	54719	55210	492	7	False
MARKER_0414	NC_002128.1	84042	84661	620	0	True
