marker_id	contig	start	end	length	tier
MARKER_0139	NC_002695.2	1555255	1555819	565	DIVERGED
MARKER_0140	NC_002695.2	1557461	1558453	993	MODERATE
MARKER_0141	NC_002695.2	1560040	1573146	13107	MODERATE
MARKER_0142	NC_002695.2	1575853	1576569	717	MODERATE
MARKER_0143	NC_002695.2	1577029	1577345	317	MODERATE
MARKER_0144	NC_002695.2	1577717	1579089	1373	MODERATE
MARKER_0145	NC_002695.2	1587060	1587515	456	MODERATE
MARKER_0146	NC_002695.2	1587759	1590039	2281	MODERATE
MARKER_0147	NC_002695.2	1594775	1596029	1255	DIVERGED
MARKER_0148	NC_002695.2	1595020	1597197	2178	MODERATE
MARKER_0149	NC_002695.2	1596440	1596779	340	DIVERGED
MARKER_0150	NC_002695.2	1597465	1597683	219	MODERATE
MARKER_0151	NC_002695.2	1598289	1601088	2800	MODERATE
MARKER_0152	NC_002695.2	1601101	1602425	1325	MODERATE
MARKER_0153	NC_002695.2	1601103	1601676	574	DIVERGED
MARKER_0154	NC_002695.2	1604974	1605632	659	DIVERGED
MARKER_0155	NC_002695.2	1606257	1609397	3141	MODERATE
MARKER_0156	NC_002695.2	1609806	1610144	339	MODERATE
MARKER_0157	NC_002695.2	1619858	1621616	1759	MODERATE
MARKER_0158	NC_002695.2	1621634	1622051	418	MODERATE
MARKER_0159	NC_002695.2	1623029	1623880	852	MODERATE
MARKER_0160	NC_002695.2	1624133	1625710	1578	MODERATE
MARKER_0161	NC_002695.2	1626700	1627737	1038	MODERATE
MARKER_0162	NC_002695.2	1627037	1627422	386	DIVERGED
MARKER_0163	NC_002695.2	1627494	1627935	442	DIVERGED
MARKER_0164	NC_002695.2	1628403	1629060	658	DIVERGED
MARKER_0165	NC_002695.2	1628552	1629619	1068	MODERATE
MARKER_0166	NC_002695.2	1629149	1632560	3412	DIVERGED
MARKER_0167	NC_002695.2	1629670	1630072	403	MODERATE
MARKER_0168	NC_002695.2	1632894	1634582	1689	DIVERGED
MARKER_0169	NC_002695.2	1634691	1635119	429	DIVERGED
MARKER_0170	NC_002695.2	1638376	1639447	1072	DIVERGED
MARKER_0171	NC_002695.2	1640581	1648543	7963	MODERATE
MARKER_0172	NC_002695.2	1648641	1648967	327	DIVERGED
MARKER_0173	NC_002695.2	1648839	1651379	2541	MODERATE
MARKER_0174	NC_002695.2	1651919	1652258	340	MODERATE
MARKER_0175	NC_002695.2	1652400	1653141	742	MODERATE
MARKER_0176	NC_002695.2	1661158	1661524	367	MODERATE
MARKER_0177	NC_002695.2	1685860	1686114	255	MODERATE
MARKER_0178	NC_002695.2	1731912	1732563	652	MODERATE
MARKER_0179	NC_002695.2	1759423	1761440	2018	MODERATE
MARKER_0180	NC_002695.2	1761943	1762521	579	DIVERGED
MARKER_0181	NC_002695.2	1763027	1763380	354	MODERATE
MARKER_0182	NC_002695.2	1764421	1766897	2477	MODERATE
MARKER_0183	NC_002695.2	1767698	1768154	457	MODERATE
MARKER_0184	NC_002695.2	1769283	1777393	8111	MODERATE
MARKER_0185	NC_002695.2	1774542	1774754	213	DIVERGED
MARKER_0186	NC_002695.2	1775014	1775836	823	DIVERGED
MARKER_0187	NC_002695.2	1794510	1800718	6209	MODERATE
MARKER_0188	NC_002695.2	1798838	1799182	345	DIVERGED
MARKER_0189	NC_002695.2	1800720	1803472	2753	DIVERGED
MARKER_0190	NC_002695.2	1801601	1804652	3052	MODERATE
MARKER_0191	NC_002695.2	1804760	1807056	2297	MODERATE
MARKER_0192	NC_002695.2	1806392	1806891	500	DIVERGED
MARKER_0193	NC_002695.2	1812652	1813783	1132	MODERATE
MARKER_0194	NC_002695.2	1815232	1815468	237	MODERATE
MARKER_0195	NC_002695.2	1826732	1828572	1841	MODERATE
MARKER_0196	NC_002695.2	1915139	1915466	328	DIVERGED
MARKER_0197	NC_002695.2	1915139	1915466	328	MODERATE
MARKER_0198	NC_002695.2	1925272	1926689	1418	DIVERGED
MARKER_0199	NC_002695.2	1925507	1926689	1183	MODERATE
MARKER_0200	NC_002695.2	1926987	1928233	1247	MODERATE
MARKER_0201	NC_002695.2	1927601	1928104	504	DIVERGED
MARKER_0202	NC_002695.2	1930096	1934330	4235	MODERATE
MARKER_0203	NC_002695.2	1934566	1934873	308	MODERATE
MARKER_0204	NC_002695.2	1939076	1940479	1404	MODERATE
MARKER_0205	NC_002695.2	1940663	1941661	999	MODERATE
MARKER_0206	NC_002695.2	1966021	1970790	4770	MODERATE
MARKER_0207	NC_002695.2	1972620	1973848	1229	MODERATE
MARKER_0208	NC_002695.2	1979333	1983842	4510	MODERATE
MARKER_0209	NC_002695.2	1988650	1991143	2494	MODERATE
MARKER_0210	NC_002695.2	2043816	2049813	5998	MODERATE
MARKER_0211	NC_002695.2	2050813	2052325	1513	MODERATE
MARKER_0212	NC_002695.2	2052336	2055561	3226	MODERATE
MARKER_0213	NC_002695.2	2110226	2111257	1032	MODERATE
MARKER_0214	NC_002695.2	2114978	2116602	1625	MODERATE
MARKER_0215	NC_002695.2	2143539	2150765	7227	MODERATE
MARKER_0216	NC_002695.2	2164217	2166670	2454	MODERATE
MARKER_0217	NC_002695.2	2166883	2169955	3073	MODERATE
MARKER_0218	NC_002695.2	2172647	2174615	1969	MODERATE
MARKER_0219	NC_002695.2	2182015	2182737	723	MODERATE
MARKER_0220	NC_002695.2	2183689	2185695	2007	MODERATE
MARKER_0221	NC_002695.2	2188947	2189904	958	MODERATE
MARKER_0222	NC_002695.2	2190709	2193203	2495	MODERATE
MARKER_0223	NC_002695.2	2193975	2194418	444	MODERATE
MARKER_0224	NC_002695.2	2195268	2195708	441	MODERATE
MARKER_0225	NC_002695.2	2196847	2198986	2140	MODERATE
MARKER_0226	NC_002695.2	2198002	2198986	985	DIVERGED
MARKER_0227	NC_002695.2	2200064	2200533	470	MODERATE
MARKER_0228	NC_002695.2	2201240	2204371	3132	MODERATE
MARKER_0229	NC_002695.2	2205811	2206651	841	DIVERGED
MARKER_0230	NC_002695.2	2205811	2206651	841	MODERATE
MARKER_0231	NC_002695.2	2206653	2208846	2194	MODERATE
MARKER_0232	NC_002695.2	2209096	2209565	470	DIVERGED
MARKER_0233	NC_002695.2	2209097	2209564	468	MODERATE
MARKER_0234	NC_002695.2	2210751	2212296	1546	MODERATE
MARKER_0235	NC_002695.2	2212836	2234174	21339	MODERATE
MARKER_0236	NC_002695.2	2221267	2222121	855	DIVERGED
MARKER_0237	NC_002695.2	2222396	2223117	722	DIVERGED
MARKER_0238	NC_002695.2	2235822	2236684	863	MODERATE
MARKER_0239	NC_002695.2	2240585	2249803	9219	MODERATE
MARKER_0240	NC_002695.2	2247078	2247352	275	DIVERGED
MARKER_0241	NC_002695.2	2250246	2254996	4751	MODERATE
MARKER_0242	NC_002695.2	2433350	2433612	263	DIVERGED
MARKER_0243	NC_002695.2	2596276	2597353	1078	MODERATE
MARKER_0244	NC_002695.2	2597608	2603456	5849	MODERATE
MARKER_0245	NC_002695.2	2603749	2604813	1065	MODERATE
MARKER_0246	NC_002695.2	2604852	2605101	250	MODERATE
MARKER_0247	NC_002695.2	2606104	2613224	7121	MODERATE
MARKER_0248	NC_002695.2	2624512	2624847	336	MODERATE
MARKER_0249	NC_002695.2	2625753	2627065	1313	DIVERGED
MARKER_0250	NC_002695.2	2635364	2641199	5836	MODERATE
MARKER_0251	NC_002695.2	2659058	2659260	203	DIVERGED
MARKER_0252	NC_002695.2	2672071	2672943	873	MODERATE
MARKER_0253	NC_002695.2	2680838	2683406	2569	MODERATE
MARKER_0254	NC_002695.2	2691760	2692805	1046	MODERATE
MARKER_0255	NC_002695.2	2692204	2692769	566	DIVERGED
MARKER_0256	NC_002695.2	2698067	2701252	3186	MODERATE
MARKER_0257	NC_002695.2	2702086	2702524	439	MODERATE
MARKER_0258	NC_002695.2	2705654	2707415	1762	MODERATE
MARKER_0259	NC_002695.2	2709074	2713333	4260	MODERATE
MARKER_0260	NC_002695.2	2713917	2714248	332	MODERATE
MARKER_0261	NC_002695.2	2718068	2721240	3173	MODERATE
MARKER_0262	NC_002695.2	2741956	2743268	1313	MODERATE
MARKER_0263	NC_002695.2	2746528	2751160	4633	MODERATE
MARKER_0264	NC_002695.2	2762054	2773512	11459	MODERATE
MARKER_0265	NC_002695.2	2772060	2773484	1425	DIVERGED
MARKER_0266	NC_002695.2	2775627	2777699	2073	MODERATE
MARKER_0267	NC_002695.2	2787677	2788627	951	MODERATE
MARKER_0268	NC_002695.2	2787755	2788622	868	DIVERGED
MARKER_0269	NC_002695.2	2790004	2794072	4069	MODERATE
MARKER_0270	NC_002695.2	2826961	2841124	14164	MODERATE
MARKER_0271	NC_002695.2	2861376	2863328	1953	MODERATE
MARKER_0272	NC_002695.2	2864299	2890910	26612	MODERATE
MARKER_0273	NC_002695.2	2898134	2902802	4669	MODERATE
MARKER_0274	NC_002695.2	2911254	2912296	1043	DIVERGED
MARKER_0275	NC_002695.2	2918861	2923973	5113	MODERATE
MARKER_0276	NC_002695.2	2921264	2922398	1135	DIVERGED
MARKER_0277	NC_002695.2	2923681	2924526	846	DIVERGED
MARKER_0278	NC_002695.2	2924062	2924526	465	MODERATE
MARKER_0279	NC_002695.2	2926414	2926775	362	MODERATE
MARKER_0280	NC_002695.2	2930119	2933533	3415	MODERATE
MARKER_0281	NC_002695.2	2934505	2934880	376	MODERATE
MARKER_0282	NC_002695.2	2935213	2936117	905	MODERATE
MARKER_0283	NC_002695.2	2938002	2938658	657	DIVERGED
MARKER_0284	NC_002695.2	2939133	2940084	952	MODERATE
MARKER_0285	NC_002695.2	2939889	2940162	274	DIVERGED
MARKER_0286	NC_002695.2	2941106	2941449	344	DIVERGED
MARKER_0287	NC_002695.2	2941406	2941637	232	MODERATE
MARKER_0288	NC_002695.2	2941774	2942303	530	MODERATE
MARKER_0289	NC_002695.2	2958176	2958456	281	MODERATE
MARKER_0290	NC_002695.2	2987600	2994388	6789	MODERATE
MARKER_0291	NC_002695.2	3022115	3022568	454	MODERATE
MARKER_0292	NC_002695.2	3065495	3067938	2444	MODERATE
MARKER_0293	NC_002695.2	3069309	3077693	8385	MODERATE
MARKER_0294	NC_002695.2	3113155	3114694	1540	MODERATE
MARKER_0295	NC_002695.2	3114907	3116220	1314	MODERATE
MARKER_0296	NC_002695.2	3157233	3157501	269	MODERATE
MARKER_0297	NC_002695.2	3166075	3173996	7922	MODERATE
MARKER_0298	NC_002695.2	3177172	3178055	884	DIVERGED
MARKER_0299	NC_002695.2	3178174	3182322	4149	DIVERGED
MARKER_0300	NC_002695.2	3182883	3188365	5483	MODERATE
MARKER_0301	NC_002695.2	3188907	3189203	297	DIVERGED
MARKER_0302	NC_002695.2	3189985	3190509	525	MODERATE
MARKER_0303	NC_002695.2	3195097	3195398	302	MODERATE
MARKER_0304	NC_002695.2	3196888	3197418	531	MODERATE
MARKER_0305	NC_002695.2	3244346	3245034	689	MODERATE
MARKER_0306	NC_002695.2	3269103	3271605	2503	MODERATE
MARKER_0307	NC_002695.2	3347234	3351455	4222	MODERATE
MARKER_0308	NC_002695.2	3476299	3476879	581	MODERATE
MARKER_0309	NC_002695.2	3483680	3485310	1631	MODERATE
MARKER_0310	NC_002695.2	3484948	3486059	1112	DIVERGED
MARKER_0311	NC_002695.2	3500273	3507646	7374	MODERATE
MARKER_0312	NC_002695.2	3541933	3542206	274	MODERATE
MARKER_0313	NC_002695.2	3580276	3584226	3951	MODERATE
MARKER_0314	NC_002695.2	3607386	3607627	242	MODERATE
MARKER_0315	NC_002695.2	3624314	3628445	4132	MODERATE
MARKER_0316	NC_002695.2	3655776	3656185	410	MODERATE
MARKER_0317	NC_002695.2	3852039	3853699	1661	MODERATE
MARKER_0318	NC_002695.2	3853305	3853699	395	DIVERGED
MARKER_0319	NC_002695.2	3853702	3854364	663	MODERATE
MARKER_0320	NC_002695.2	3855350	3855639	290	MODERATE
MARKER_0321	NC_002695.2	3859255	3860707	1453	MODERATE
MARKER_0322	NC_002695.2	3859840	3860707	868	DIVERGED
MARKER_0323	NC_002695.2	3865687	3866145	459	DIVERGED
MARKER_0324	NC_002695.2	3865689	3866171	483	MODERATE
MARKER_0325	NC_002695.2	3866339	3866831	493	DIVERGED
MARKER_0326	NC_002695.2	3872879	3875062	2184	MODERATE
MARKER_0327	NC_002695.2	3929666	3929891	226	DIVERGED
MARKER_0328	NC_002695.2	3970910	3973977	3068	MODERATE
MARKER_0329	NC_002695.2	4014831	4016221	1391	DIVERGED
MARKER_0330	NC_002695.2	4158342	4158681	340	MODERATE
MARKER_0331	NC_002695.2	4268922	4269325	404	MODERATE
MARKER_0332	NC_002695.2	4333334	4336774	3441	MODERATE
MARKER_0333	NC_002695.2	4367634	4370838	3205	MODERATE
MARKER_0334	NC_002695.2	4382722	4382930	209	MODERATE
MARKER_0335	NC_002695.2	4383375	4388452	5078	MODERATE
MARKER_0336	NC_002695.2	4456984	4458205	1222	DIVERGED
MARKER_0337	NC_002695.2	4515277	4521356	6080	MODERATE
MARKER_0338	NC_002695.2	4518780	4519658	879	DIVERGED
MARKER_0339	NC_002695.2	4521745	4527987	6243	MODERATE
MARKER_0340	NC_002695.2	4551917	4552267	351	MODERATE
MARKER_0341	NC_002695.2	4581104	4586091	4988	MODERATE
MARKER_0342	NC_002695.2	4584495	4586091	1597	DIVERGED
MARKER_0343	NC_002695.2	4588556	4591437	2882	MODERATE
MARKER_0344	NC_002695.2	4591541	4592360	820	DIVERGED
MARKER_0345	NC_002695.2	4592452	4596371	3920	MODERATE
MARKER_0346	NC_002695.2	4597331	4600138	2808	MODERATE
MARKER_0347	NC_002695.2	4600552	4601980	1429	DIVERGED
MARKER_0348	NC_002695.2	4602088	4620593	18506	MODERATE
MARKER_0349	NC_002695.2	4602153	4603375	1223	DIVERGED
MARKER_0350	NC_002695.2	4620852	4623843	2992	MODERATE
MARKER_0351	NC_002695.2	4624425	4628292	3868	MODERATE
MARKER_0352	NC_002695.2	4639007	4646918	7912	MODERATE
MARKER_0353	NC_002695.2	4655675	4661639	5965	MODERATE
MARKER_0354	NC_002695.2	4685947	4686268	322	MODERATE
MARKER_0355	NC_002695.2	4691400	4691906	507	DIVERGED
MARKER_0356	NC_002695.2	4692012	4695299	3288	MODERATE
MARKER_0357	NC_002695.2	4776319	4780408	4090	MODERATE
MARKER_0358	NC_002695.2	4787974	4788227	254	DIVERGED
MARKER_0359	NC_002695.2	4877428	4878855	1428	MODERATE
MARKER_0360	NC_002695.2	4885601	4894805	9205	MODERATE
MARKER_0361	NC_002695.2	4933568	4934333	766	MODERATE
MARKER_0362	NC_002695.2	4934418	4935056	639	MODERATE
MARKER_0363	NC_002695.2	4985265	4985831	567	DIVERGED
MARKER_0364	NC_002695.2	5054207	5054947	741	DIVERGED
MARKER_0365	NC_002695.2	5055308	5055603	296	DIVERGED
MARKER_0366	NC_002695.2	5060921	5061239	319	DIVERGED
MARKER_0367	NC_002695.2	5075774	5076303	530	DIVERGED
MARKER_0368	NC_002695.2	5119052	5120143	1092	MODERATE
MARKER_0369	NC_002695.2	5149108	5149998	891	MODERATE
MARKER_0370	NC_002695.2	5158691	5159571	881	MODERATE
MARKER_0371	NC_002695.2	5168946	5180959	12014	MODERATE
MARKER_0372	NC_002695.2	5283589	5283898	310	DIVERGED
MARKER_0373	NC_002695.2	5315082	5315497	416	MODERATE
MARKER_0374	NC_002695.2	5331831	5332549	719	MODERATE
MARKER_0375	NC_002695.2	5331831	5332634	804	DIVERGED
MARKER_0376	NC_002695.2	5332943	5334517	1575	MODERATE
MARKER_0377	NC_002695.2	5334547	5335011	465	MODERATE
MARKER_0378	NC_002695.2	5345911	5347211	1301	MODERATE
MARKER_0379	NC_002695.2	5348138	5349381	1244	MODERATE
MARKER_0380	NC_002695.2	5351335	5353879	2545	MODERATE
MARKER_0381	NC_002695.2	5353216	5353879	664	DIVERGED
MARKER_0382	NC_002695.2	5356407	5359337	2931	MODERATE
MARKER_0383	NC_002695.2	5359518	5359834	317	MODERATE
MARKER_0384	NC_002695.2	5380333	5380799	467	MODERATE
MARKER_0385	NC_002695.2	5390822	5391439	618	MODERATE
MARKER_0386	NC_002695.2	5391078	5391545	468	DIVERGED
MARKER_0387	NC_002695.2	5397712	5398017	306	MODERATE
MARKER_0388	NC_002695.2	5403337	5405006	1670	MODERATE
MARKER_0389	NC_002695.2	5422086	5424063	1978	DIVERGED
MARKER_0390	NC_002695.2	5426967	5429191	2225	MODERATE
MARKER_0391	NC_002695.2	5429605	5438957	9353	MODERATE
MARKER_0392	NC_002695.2	5453451	5454064	614	DIVERGED
MARKER_0393	NC_002127.1	1	931	931	MODERATE
MARKER_0394	NC_002127.1	2495	3306	812	MODERATE
MARKER_0395	NC_002127.1	2656	3188	533	DIVERGED
MARKER_0396	NC_002128.1	1	14272	14272	MODERATE
MARKER_0397	NC_002128.1	14303	15708	1406	MODERATE
MARKER_0398	NC_002128.1	21138	21687	550	DIVERGED
MARKER_0399	NC_002128.1	24073	26733	2661	MODERATE
MARKER_0400	NC_002128.1	24697	25057	361	DIVERGED
MARKER_0401	NC_002128.1	28265	30044	1780	MODERATE
MARKER_0402	NC_002128.1	32617	35261	2645	MODERATE
MARKER_0403	NC_002128.1	38070	51671	13602	MODERATE
MARKER_0404	NC_002128.1	53762	54189	428	MODERATE
MARKER_0405	NC_002128.1	54719	55210	492	DIVERGED
MARKER_0406	NC_002128.1	54874	55566	693	MODERATE
MARKER_0407	NC_002128.1	55848	65514	9667	MODERATE
MARKER_0408	NC_002128.1	65636	65865	230	MODERATE
MARKER_0409	NC_002128.1	66339	71027	4689	MODERATE
MARKER_0410	NC_002128.1	71581	75176	3596	MODERATE
MARKER_0411	NC_002128.1	75286	75500	215	MODERATE
MARKER_0412	NC_002128.1	76110	76757	648	MODERATE
MARKER_0413	NC_002128.1	83817	84670	854	MODERATE
MARKER_0414	NC_002128.1	84042	84661	620	DIVERGED
MARKER_0415	NC_002128.1	91660	91870	211	MODERATE
